Name,Population
Girona,97227
Gironella,4987
Gisclareny,25
Godall,673
Golmés,1734
Gombrèn,195
Gósol,216
La Granada,2073
La Granadella,715
Granera,80
La Granja d'Escarp,972
Granollers,59930
Granyanella,147
Granyena de les Garrigues,162
Granyena de Segarra,136
Gratallops,243
Gualba,1429
Gualta,362
Guardiola de Berguedà,937
Els Guiamets,292
Guils de Cerdanya,536
Guimerà,295
La Guingueta d'Àneu,317
Guissona,6827
Guixers,128
Gurb,2545
Horta de Sant Joan,1219
L'Hospitalet de Llobregat,253518
Els Hostalets de Pierola,2942
Hostalric,4010
Igualada,38751
Isona i Conca Dellà,1049
Isòvol,301
Ivars d'Urgell,1607
Ivars de Noguera,350
Ivorra,115
Jafre,396
La Jonquera,3115
Jorba,838
Josa i Tuixén,128
Juià,340
Juncosa,438
Juneda,3497
Les,968
Linyola,2677
La Llacuna,906
Lladó,767
Lladorre,232
Lladurs,195
La Llagosta,13430
Llagostera,8198
Llambilles,738
Llanars,509
Llançà,4970
Llardecans,497
Llavorsí,367
Lleida,139176
Llers,1242
Lles de Cerdanya,260
Lliçà d'Amunt,14696
Lliçà de Vall,6354
Llimiana,159
Llinars del Vallès,9536
Llívia,1536
El Lloar,110
Llobera,201
Llorac,112
Llorenç del Penedès,2306
Lloret de Mar,38624
Les Llosses,211
Lluçà,257
Maçanet de Cabrenys,781
Maçanet de la Selva,6963
Madremanya,283
Maià de Montcal,443
Maials,959
Maldà,227
Malgrat de Mar,18417
Malla,266
Manlleu,20279
Manresa,75297
Marçà,611
Margalef,108
Marganell,297
Martorell,27895
Martorelles,4783
Mas de Barberans,619
Masarac,284
Masdenverge,1106
Les Masies de Roda,737
Les Masies de Voltregà,3186
Masllorenç,519
El Masnou,22742
La Masó,288
Maspujols,782
Masquefa,8406
El Masroig,534
Massalcoreig,560
Massanes,723
Massoteres,196
Matadepera,8841
Mataró,124280
Mediona,2311
Menàrguens,887
Meranges,94
Mieres,326
El Milà,174
Miralcamp,1384
Miravet,774
Moià,5760
El Molar,293
Molins de Rei,25152
Mollerussa,14963
Mollet de Peralada,182
Mollet del Vallès,51719
Molló,339
La Molsosa,116
Monistrol de Calders,695
Monistrol de Montserrat,2945
Mont-ral,165
Mont-ras,1739
Mont-roig del Camp,12148
Montagut i Oix,970
Montblanc,7359
Montbrió del Camp,2650
Montcada i Reixac,34394
Montclar,117
Montellà i Martinet,623
Montesquiu,895
Montferrer i Castellbò,1027
Montferri,369
Montgai,671
Montgat,11315
Montmajor,476
Montmaneu,164
El Montmell,1418
Montmeló,8863
Montoliu de Lleida,515
Montoliu de Segarra,193
Montornès de Segarra,105
Montornès del Vallès,16217
Montseny,332
Móra d'Ebre,5578
Móra la Nova,3190
El Morell,3530
La Morera de Montsant,157
Muntanyola,595
Mura,211
Nalec,93
Naut Aran,1782
Navarcles,6003
Navàs,6117
Navata,1262
Navès,280
La Nou de Berguedà,150
La Nou de Gaià,548
Nulles,453
Odèn,267
Òdena,3624
Ogassa,245
Olèrdola,3579
Olesa de Bonesvalls,1735
Olesa de Montserrat,23543
Oliana,1870
Oliola,235
Olius,902
Olivella,3609
Olost,1186
Olot,33913
Les Oluges,158
Olvan,876
Els Omellons,232
Els Omells de na Gaia,141
Ordis,380
Organyà,841
Orís,303
Oristà,557
Orpí,131
Òrrius,690
Os de Balaguer,1008
Osor,452
Ossó de Sió,211
Pacs del Penedès,892
Palafolls,9065
Palafrugell,22763
Palamós,17805
El Palau d'Anglesola,2135
Palau de Santa Eulàlia,98
Palau-sator,305
Palau-saverdera,1437
Palau-solità i Plegamans,14454
Els Pallaresos,4479
Pallejà,11253
La Palma d'Ebre,371
La Palma de Cervelló,3002
Palol de Revardit,474
Pals,2533
El Papiol,4023
Pardines,155
Parets del Vallès,18733
Parlavà,410
Passanant i Belltall,154
Pau,569
Paüls,596
Pedret i Marzà,189
Penelles,504
La Pera,467
Perafita,407
Perafort,1287
Peralada,1859
Peramola,349
El Perelló,3155
Piera,15000
Les Piles,214
Pineda de Mar,25948
El Pinell de Brai,1076
Pinell de Solsonès,207
Pinós,302
Pira,480
El Pla de Santa Maria,2344
El Pla del Penedès,1223
Les Planes d'Hostoles,1694
Planoles,300
Els Plans de Sió,560
El Poal,656
La Pobla de Cérvoles,220
La Pobla de Claramunt,2186
La Pobla de Lillet,1155
La Pobla de Mafumet,3420
La Pobla de Massaluca,354
La Pobla de Montornès,2860
La Pobla de Segur,3012
Poboleda,361
Polinyà,8238
El Pont d'Armentera,561
El Pont de Bar,172
Pont de Molins,529
El Pont de Suert,2318
El Pont de Vilomara i Rocafort,3780
Pontils,123
Pontons,477
Pontós,223
Ponts,2701
Porqueres,4529
Porrera,461
El Port de la Selva,980
Portbou,1214
La Portella,750
Pradell de la Teixeta,181
Prades,626
Prat de Comte,164
El Prat de Llobregat,62866
Pratdip,685
Prats de Lluçanès,2624
Els Prats de Rei,537
Prats i Sansor,248
Preixana,405
Preixens,450
Premià de Dalt,10311
Premià de Mar,28163
Les Preses,1772
Prullans,209
Puig-reig,4207
Puigcerdà,8761
Puigdàlber,532
Puiggròs,296
Puigpelat,1083
Puigverd d'Agramunt,259
Puigverd de Lleida,1411
Pujalt,198
La Quar,57
Quart,3441
Queralbs,182
Querol,550
Rabós,182
Rajadell,528
La Ràpita,15003
Rasquera,858
Regencós,291
Rellinars,726
Renau,141
Reus,104962
Rialp,667
La Riba,601
Riba-roja d'Ebre,1195
Ribera d'Ondara,420
Ribera d'Urgellet,963
Ribes de Freser,1859
Riells i Viabrea,4000
La Riera de Gaià,1678
Riner,281
Ripoll,10751
Ripollet,37233
Riu de Cerdanya,106
Riudarenes,2148
Riudaura,463
Riudecanyes,1142
Riudecols,1254
Riudellots de la Selva,2026
Riudoms,6546
Riumors,244
La Roca del Vallès,10518
Rocafort de Queralt,256
Roda de Berà,6322
Roda de Ter,6124
Rodonyà,513
Roquetes,8287
Roses,19600
Rosselló,3021
El Rourell,394
Rubí,74353
Rubió,228
Rupià,246
Rupit i Pruit,300
Sabadell,207444
Sagàs,149
Salàs de Pallars,365
Saldes,283
Sales de Llierca,133
Sallent,6780
Salomó,539
Salou,26558
Salt,30103
Sanaüja,423
Sant Adrià de Besòs,35386
Sant Agustí de Lluçanès,91
Sant Andreu de la Barca,27268
Sant Andreu de Llavaneres,10590
Sant Andreu Salou,155
Sant Aniol de Finestres,351
Sant Antoni de Vilamajor,5708
Sant Bartomeu del Grau,875
Sant Boi de Llobregat,83107
Sant Boi de Lluçanès,556
Sant Cebrià de Vallalta,3328
Sant Celoni,17251
Sant Climent de Llobregat,3938
Sant Climent Sescebes,590
Sant Cugat del Vallès,87118
Sant Cugat Sesgarrigues,972
Sant Esteve de la Sarga,132
Sant Esteve de Palautordera,2532
Sant Esteve Sesrovires,7542
Sant Feliu de Buixalleu,776
Sant Feliu de Codines,5900
Sant Feliu de Guíxols,21810
Sant Feliu de Llobregat,43715
Sant Feliu de Pallerols,1353
Sant Feliu Sasserra,626
Sant Ferriol,240
Sant Fost de Campsentelles,8666
Sant Fruitós de Bages,8243
Sant Gregori,3464
Sant Guim de Freixenet,1107
Sant Guim de la Plana,175
Sant Hilari Sacalm,5681
Sant Hipòlit de Voltregà,3446
Sant Iscle de Vallalta,1304
Sant Jaume d'Enveja,3555
Sant Jaume de Frontanyà,24
Sant Jaume de Llierca,812
Sant Jaume dels Domenys,2493
Sant Joan de les Abadesses,3413
Sant Joan de Mollet,509
Sant Joan de Vilatorrada,10733
Sant Joan Despí,32981
Sant Joan les Fonts,2919
Sant Jordi Desvalls,708
Sant Julià de Cerdanyola,239
Sant Julià de Ramis,3434
Sant Julià de Vilatorta,3123
